Updated On,State,Total Individuals Vaccinated,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,AEFI,18-30 years (Age),30-45 years (Age),45-60 years (Age),60+ years (Age),Total Doses Administered
01/02/2021,India,3350265.0,97432.0,27751.0,3350265.0,0.0,1152344.0,2197431.0,490.0,69372.0,3280893.0,,,,,,3350265.0
02/02/2021,India,3527971.0,106461.0,29522.0,3527971.0,0.0,1218507.0,2308898.0,566.0,76794.0,3451177.0,,,,,,3527971.0
03/02/2021,India,3825835.0,116568.0,31167.0,3825835.0,0.0,1324273.0,2500887.0,675.0,86001.0,3739834.0,,,,,,3825835.0
04/02/2021,India,4314304.0,126714.0,32505.0,4314304.0,0.0,1504527.0,2809042.0,735.0,99015.0,4215289.0,,,,,,4314304.0
05/02/2021,India,4765924.0,137110.0,33947.0,4765924.0,0.0,1710466.0,3054631.0,827.0,133911.0,4632013.0,,,,,,4765924.0
06/02/2021,India,5111827.0,145121.0,34814.0,5111827.0,0.0,1896705.0,3214244.0,878.0,195504.0,4916323.0,,,,,,5111827.0
07/02/2021,India,5168099.0,153231.0,35778.0,5168099.0,0.0,1928947.0,3238273.0,879.0,206130.0,4961969.0,,,,,,5168099.0
08/02/2021,India,5615499.0,164116.0,36740.0,5615499.0,0.0,2211020.0,3403576.0,903.0,290785.0,5324714.0,,,,,,5615499.0
09/02/2021,India,6002474.0,175556.0,38131.0,6002474.0,0.0,2458329.0,3543208.0,937.0,363692.0,5638782.0,,,,,,6002474.0
10/02/2021,India,6462270.0,187224.0,39339.0,6462270.0,0.0,2785194.0,3676114.0,962.0,480760.0,5981510.0,,,,,,6462270.0
11/02/2021,India,6958553.0,197650.0,40332.0,6958553.0,0.0,3153649.0,3803908.0,996.0,609108.0,6349445.0,,,,,,6958553.0
12/02/2021,India,7423817.0,207633.0,40799.0,7423817.0,0.0,3504429.0,3918381.0,1007.0,740517.0,6683300.0,,,,,,7423817.0
13/02/2021,India,7687352.0,216559.0,41308.0,7687352.0,20859.0,3684053.0,4002279.0,1020.0,781304.0,6906048.0,,,,,,7708211.0
14/02/2021,India,7710367.0,223423.0,41606.0,7710367.0,21911.0,3699535.0,4009812.0,1020.0,786042.0,6924325.0,,,,,,7732278.0
15/02/2021,India,8111162.0,233527.0,42016.0,8111162.0,142489.0,3925723.0,4184377.0,1062.0,825093.0,7286069.0,,,,,,8253651.0
16/02/2021,India,8337600.0,245131.0,42859.0,8337600.0,239626.0,4044967.0,4291548.0,1085.0,841412.0,7496188.0,,,,,,8577226.0
17/02/2021,India,8704698.0,256706.0,43310.0,8704698.0,318541.0,4271486.0,4432078.0,1134.0,894555.0,7810143.0,,,,,,9023239.0
18/02/2021,India,8862491.0,268275.0,43734.0,8862491.0,475776.0,4509554.0,4351815.0,1122.0,962251.0,7900240.0,,,,,,9338267.0
19/02/2021,India,9523567.0,279055.0,44167.0,9523567.0,717941.0,4820055.0,4702310.0,1202.0,1003518.0,8520049.0,,,,,,10241508.0
20/02/2021,India,9734505.0,288334.0,44791.0,9734505.0,884608.0,4966750.0,4766532.0,1223.0,1033170.0,8701335.0,,,,,,10619113.0
21/02/2021,India,9757217.0,299726.0,45120.0,9757217.0,893795.0,4982068.0,4773924.0,1225.0,1037565.0,8719652.0,,,,,,10651012.0
22/02/2021,India,10069263.0,312382.0,45490.0,10069263.0,1174416.0,5226538.0,4841511.0,1214.0,1085940.0,8983323.0,,,,,,11243679.0
23/02/2021,India,10288293.0,325527.0,46054.0,10288293.0,1309475.0,5389434.0,4897627.0,1232.0,1120345.0,9167948.0,,,,,,11597768.0
24/02/2021,India,10517568.0,339617.0,46671.0,10517568.0,1525390.0,5558978.0,4957351.0,1239.0,1156820.0,9360748.0,,,,,,12042958.0
25/02/2021,India,10846192.0,352882.0,47068.0,10846192.0,1972882.0,5799474.0,5045426.0,1292.0,1204424.0,9641768.0,,,,,,12819074.0
26/02/2021,India,11141375.0,357440.0,47240.0,11141375.0,2419557.0,6008758.0,5131299.0,1318.0,1244235.0,9897140.0,,,,,,13560932.0
27/02/2021,India,11141426.0,357450.0,47242.0,11141426.0,2419557.0,6008785.0,5131323.0,1318.0,1244235.0,9897191.0,,,,,,13560983.0
28/02/2021,India,11141651.0,367595.0,48032.0,11141651.0,2419557.0,6008960.0,5131373.0,1318.0,1244273.0,9897378.0,,,,,,13561208.0
01/03/2021,India,11141651.0,401961.0,50243.0,11141651.0,2419557.0,6008960.0,5131373.0,1318.0,1244273.0,9897378.0,,,,,,13561208.0
02/03/2021,India,11886320.0,448977.0,51350.0,11886320.0,2647634.0,6462436.0,5422470.0,1414.0,1277711.0,10608609.0,,,,,,14533954.0
03/03/2021,India,12553326.0,533253.0,54700.0,12553326.0,2830557.0,6859318.0,5692550.0,1458.0,1307164.0,11246162.0,,,,,,15383883.0
04/03/2021,India,13393538.0,613748.0,57418.0,13393538.0,3142165.0,7346850.0,6045211.0,1477.0,1345443.0,12048095.0,,,,,,16535703.0
05/03/2021,India,14415912.0,714806.0,59064.0,14415912.0,3455761.0,7924084.0,6490255.0,1573.0,1386898.0,13029014.0,,,,,,17871673.0
06/03/2021,India,15438495.0,802800.0,60930.0,15438495.0,3732333.0,8488627.0,6948195.0,1673.0,1434272.0,14004223.0,,,,,,19170828.0
07/03/2021,India,15541529.0,862720.0,63187.0,15541529.0,3747137.0,8545982.0,6993867.0,1680.0,1440857.0,14100672.0,,,,,,19288666.0
08/03/2021,India,16976138.0,923939.0,64854.0,16976138.0,4062362.0,9298005.0,7676312.0,1821.0,1495593.0,15480545.0,,,,,,21038500.0
09/03/2021,India,17984381.0,1017231.0,66317.0,17984381.0,4372951.0,9850241.0,8132238.0,1902.0,1557829.0,16426552.0,,,,,,22357332.0
10/03/2021,India,18944399.0,1149363.0,68620.0,18944399.0,4687288.0,10373816.0,8568586.0,1997.0,1611479.0,17332920.0,,,,,,23631687.0
11/03/2021,India,19213642.0,1208555.0,70188.0,19213642.0,4749703.0,10520212.0,8691411.0,2019.0,1628133.0,17585509.0,,,,,,23963345.0
12/03/2021,India,20727869.0,1294146.0,71977.0,20727869.0,5160291.0,11353590.0,9372137.0,2142.0,1710492.0,19017377.0,,,,,,25888160.0
13/03/2021,India,21883802.0,1349982.0,73441.0,21883802.0,5461389.0,11967845.0,9913759.0,2198.0,1762881.0,20120921.0,,,,,,27345191.0
14/03/2021,India,22029912.0,1400793.0,75269.0,22029912.0,5480732.0,12043761.0,9983943.0,2208.0,1769009.0,20260903.0,,,,,,27510644.0
15/03/2021,India,24049536.0,1480573.0,77238.0,24049536.0,5852411.0,13115456.0,10931670.0,2410.0,1887348.0,22162188.0,,,,,,29901947.0
16/03/2021,India,25709257.0,5366679.0,33886.0,25709257.0,6161488.0,13993527.0,11713149.0,2581.0,2557019.0,29313725.0,14381.0,1342665.0,6479989.0,8321177.0,9549294.0,31870745.0
17/03/2021,India,30011328.0,5183313.0,31807.0,30011328.0,6484692.0,16266085.0,13742026.0,3217.0,2875235.0,33620784.0,14662.0,1369680.0,6580300.0,9106642.0,12938115.0,36496020.0
18/03/2021,India,31952935.0,5880856.0,38208.0,31952935.0,6817469.0,17311577.0,14637915.0,3443.0,3111700.0,35658703.0,14777.0,1396294.0,6689910.0,9587964.0,14261942.0,38770404.0
19/03/2021,India,34228371.0,6385874.0,41625.0,34228371.0,7080848.0,18492473.0,15732206.0,3692.0,3332178.0,37977040.0,14896.0,1425374.0,6793914.0,10165734.0,15826268.0,41309219.0
20/03/2021,India,36568988.0,6470646.0,42178.0,36568988.0,7308880.0,19688923.0,16876137.0,3928.0,3617184.0,40260683.0,15074.0,1458151.0,6900440.0,10766621.0,17426476.0,43877868.0
21/03/2021,India,37303458.0,1919521.0,13892.0,37303458.0,7341914.0,20053560.0,17245870.0,4028.0,3711319.0,40934052.0,15121.0,1464725.0,6927638.0,10969933.0,17923778.0,44645372.0
22/03/2021,India,39612614.0,7458801.0,49877.0,39612614.0,7592019.0,21244939.0,18363361.0,4314.0,4025733.0,43178899.0,15234.0,1487768.0,7026408.0,11542500.0,19538350.0,47204633.0
23/03/2021,India,42148875.0,6325666.0,42614.0,42148875.0,7824277.0,22532413.0,19611896.0,4566.0,4418254.0,45554897.0,15414.0,1517626.0,7139637.0,12235178.0,21238556.0,49973152.0
24/03/2021,India,44250191.0,6309312.0,42607.0,44250191.0,7966046.0,23602891.0,20642500.0,4800.0,4755913.0,47460323.0,15533.0,1540577.0,7229462.0,12809134.0,22652955.0,52216237.0
25/03/2021,India,46454700.0,6810937.0,46395.0,46454700.0,8134520.0,24744845.0,21704739.0,5116.0,5065307.0,49523912.0,15692.0,1565903.0,7329935.0,13438961.0,24101658.0,54589220.0
26/03/2021,India,48749313.0,7290723.0,49904.0,48749313.0,8271851.0,25911744.0,22832194.0,5375.0,5363425.0,51657738.0,15827.0,1593134.0,7437574.0,14142017.0,25558079.0,57021164.0
27/03/2021,India,50865316.0,6515557.0,44549.0,50865316.0,8370120.0,26976551.0,23883153.0,5612.0,5581810.0,53653625.0,15942.0,1620311.0,7550391.0,14835024.0,26840911.0,59235436.0
28/03/2021,India,51179587.0,2724106.0,18876.0,51179587.0,8377533.0,27137004.0,24036939.0,5644.0,5600420.0,53956699.0,15968.0,1623846.0,7568008.0,14951629.0,27017385.0,59557120.0
29/03/2021,India,51774289.0,3614098.0,24773.0,51774289.0,8408775.0,27427546.0,24341025.0,5718.0,5673246.0,54509817.0,16014.0,1633609.0,7598554.0,15144058.0,27379282.0,60183064.0
30/03/2021,India,53429356.0,6935955.0,45244.0,53429356.0,8560886.0,28257441.0,25165987.0,5928.0,5820234.0,56170007.0,16112.0,1653856.0,7681454.0,15669710.0,28405395.0,61990242.0
31/03/2021,India,55188803.0,7622285.0,48959.0,55188803.0,8746787.0,29151242.0,26031409.0,6152.0,5979191.0,57956398.0,16261.0,1675520.0,7775806.0,16264001.0,29454352.0,63935590.0
01/04/2021,India,57443466.0,8582019.0,56390.0,57443466.0,8918256.0,30321468.0,27115615.0,6383.0,6164245.0,60197476.0,16355.0,1692950.0,7865038.0,17615494.0,30250716.0,66361722.0
02/04/2021,India,60936753.0,7771995.0,50714.0,60936753.0,9154083.0,32126426.0,28803529.0,6798.0,6415647.0,63675188.0,16677.0,1719916.0,8002780.0,19839695.0,31354874.0,70090836.0
03/04/2021,India,63743700.0,8028771.0,53749.0,63743700.0,9368419.0,33577406.0,30159173.0,7121.0,6619593.0,66492525.0,16891.0,1745212.0,8127027.0,21613929.0,32237904.0,73112119.0
04/04/2021,India,66838504.0,6779834.0,43542.0,66838504.0,9567193.0,35165269.0,31665721.0,7514.0,6880699.0,69524997.0,17036.0,1764022.0,8216983.0,23681718.0,33156019.0,76405697.0
05/04/2021,India,69620234.0,9947093.0,64960.0,69620234.0,9819655.0,36559511.0,33052869.0,7854.0,7162657.0,72277231.0,17130.0,1764958.0,8223615.0,25457649.0,34154208.0,79439889.0
06/04/2021,India,72035640.0,9341151.0,61096.0,72035640.0,10029697.0,37772299.0,34255180.0,8161.0,7419434.0,74645902.0,17216.0,1765575.0,8228766.0,27028827.0,34992622.0,82065337.0
07/04/2021,India,76671812.0,8870978.0,58826.0,76671812.0,10428815.0,40110598.0,36552499.0,8715.0,7832533.0,79268093.0,17424.0,1766737.0,8238827.0,30065901.0,36580444.0,87100627.0
08/04/2021,India,80998099.0,9913258.0,65506.0,80998099.0,10883431.0,42273620.0,38715200.0,9279.0,8167587.0,83713942.0,17628.0,1768016.0,8249071.0,32914036.0,38047027.0,91881530.0
09/04/2021,India,84296847.0,9969009.0,65714.0,84296847.0,11286572.0,43929844.0,40357259.0,9744.0,8425992.0,87157426.0,17815.0,1773145.0,8277449.0,35088992.0,39137263.0,95583419.0
10/04/2021,India,87411872.0,8710763.0,58594.0,87411872.0,11657482.0,45508111.0,41893575.0,10186.0,8678151.0,90391202.0,17965.0,1784450.0,8331293.0,37138666.0,40137437.0,99069354.0
11/04/2021,India,90111528.0,9729980.0,63648.0,90111528.0,11888873.0,46895781.0,43205152.0,10595.0,8865852.0,93134548.0,18061.0,1789584.0,8361079.0,38924746.0,41016044.0,102000401.0
12/04/2021,India,93559587.0,10664088.0,71554.0,93559587.0,12410952.0,48669828.0,44878560.0,11199.0,9117558.0,96852980.0,18211.0,1799028.0,8415450.0,41124841.0,42200133.0,105970539.0
13/04/2021,India,95823614.0,10046908.0,67834.0,95823614.0,12774675.0,49885738.0,45926378.0,11498.0,9279181.0,99319107.0,18349.0,1806279.0,8455574.0,42580769.0,42960830.0,108598289.0
14/04/2021,India,98703696.0,10786962.0,69832.0,98703696.0,13209592.0,51361929.0,47329847.0,11920.0,9632303.0,102280984.0,18419.0,1817359.0,8511893.0,44385712.0,43968484.0,111913288.0
15/04/2021,India,100853671.0,9771019.0,66284.0,100853671.0,13744355.0,52488916.0,48352489.0,12266.0,9850203.0,104747822.0,18511.0,1826578.0,8566746.0,45715162.0,44724878.0,114598026.0
16/04/2021,India,102927296.0,9780485.0,66381.0,102927296.0,14378048.0,53575244.0,49339504.0,12548.0,10178643.0,107126700.0,18664.0,1837020.0,8632589.0,46998499.0,45438828.0,117305344.0
17/04/2021,India,104950409.0,8521217.0,60057.0,104950409.0,15020960.0,54647827.0,50289664.0,12918.0,10555424.0,109415944.0,18764.0,1847322.0,8698915.0,48281098.0,46102623.0,119971369.0
18/04/2021,India,105896430.0,8395934.0,58212.0,105896430.0,15310668.0,55151208.0,50732172.0,13050.0,10711610.0,110495487.0,18788.0,1851310.0,8722688.0,48885888.0,46416081.0,121207098.0
19/04/2021,India,108178574.0,10632658.0,73506.0,108178574.0,16278588.0,56358692.0,51806475.0,13407.0,11106751.0,113350410.0,18896.0,1877845.0,8839431.0,50242630.0,47198108.0,124457162.0
20/04/2021,India,110165234.0,10163007.0,71051.0,110165234.0,17263653.0,57420010.0,52731510.0,13714.0,11515707.0,115913179.0,18976.0,1896098.0,8930903.0,51441470.0,47876178.0,127428887.0
21/04/2021,India,111673361.0,9537781.0,67123.0,111673361.0,17972744.0,58217380.0,53441979.0,14002.0,11799916.0,117846188.0,19057.0,1905133.0,8984102.0,52371179.0,48391750.0,129646105.0
22/04/2021,India,113584269.0,10459336.0,73933.0,113584269.0,19170339.0,59214377.0,54355513.0,14379.0,12176768.0,120577839.0,19130.0,1916766.0,9056035.0,53528676.0,49056017.0,132754608.0
23/04/2021,India,115461202.0,9772224.0,68575.0,115461202.0,20197122.0,60208977.0,55237448.0,14777.0,12507127.0,123151196.0,19246.0,1930931.0,9145019.0,54681402.0,49673372.0,135658324.0
24/04/2021,India,117105343.0,8300170.0,59612.0,117105343.0,21080613.0,61078797.0,56011474.0,15072.0,12775153.0,125410802.0,19338.0,1942617.0,9219125.0,55725179.0,50185235.0,138185956.0
25/04/2021,India,117795008.0,5844983.0,41927.0,117795008.0,21390165.0,61442119.0,56337692.0,15197.0,12866845.0,126318327.0,19364.0,1947501.0,9247449.0,56163123.0,50403597.0,139185173.0
26/04/2021,India,119886252.0,9725885.0,68905.0,119886252.0,22638695.0,62534884.0,57335805.0,15563.0,13127022.0,129397924.0,19459.0,1961373.0,9338927.0,57436912.0,51108802.0,142524947.0
27/04/2021,India,121263287.0,9192384.0,65370.0,121263287.0,23615946.0,63266613.0,57980903.0,15771.0,13362545.0,131516688.0,19521.0,4574787.0,9878761.0,55220908.0,51567636.0,144879233.0
28/04/2021,India,122538179.0,8123540.0,57439.0,122538179.0,24515213.0,63938524.0,58583701.0,15954.0,13636237.0,133417155.0,19657.0,4606956.0,9950981.0,55978822.0,51980128.0,147053392.0
29/04/2021,India,123811908.0,8593203.0,61628.0,123811908.0,25456864.0,64611787.0,59183960.0,16161.0,13926050.0,135342722.0,19753.0,4641395.0,10024708.0,56743187.0,52384617.0,149268772.0
30/04/2021,India,125376952.0,8996730.0,64042.0,125376952.0,26621155.0,65445771.0,59914751.0,16430.0,14178643.0,137819464.0,19766.0,4646709.0,10036487.0,56872874.0,52456907.0,151998107.0
01/05/2021,India,126328970.0,8022399.0,56966.0,126328970.0,27297355.0,65972485.0,60339903.0,16582.0,14369918.0,139256407.0,19850.0,4759459.0,10240010.0,58198124.0,53112963.0,153626325.0
02/05/2021,India,126704151.0,5396932.0,38359.0,126704151.0,27507360.0,66183753.0,60503747.0,16651.0,14417017.0,139794494.0,19868.0,4801112.0,10256055.0,58438144.0,53191783.0,154211511.0
03/05/2021,India,127696675.0,8814219.0,61196.0,127696675.0,28385461.0,66737774.0,60942039.0,16862.0,14654260.0,141427876.0,19921.0,4927274.0,10424846.0,58901132.0,53426355.0,156082136.0
04/05/2021,India,128627919.0,8034995.0,55739.0,128627919.0,29122833.0,67265833.0,61344881.0,17205.0,14892657.0,142858095.0,19982.0,5073937.0,10615368.0,59299040.0,53622284.0,157750752.0
05/05/2021,India,129730641.0,8424665.0,58108.0,129730641.0,30200597.0,67881167.0,61832097.0,17377.0,15127348.0,144803890.0,20041.0,5217900.0,10818153.0,59800123.0,53877151.0,159931238.0
06/05/2021,India,131058890.0,8708024.0,60671.0,131058890.0,31544713.0,68616643.0,62424602.0,17645.0,15424914.0,147178689.0,20079.0,5379511.0,11050917.0,60403154.0,54207909.0,162603603.0
07/05/2021,India,132294827.0,8244108.0,57623.0,132294827.0,32895173.0,69304346.0,62972623.0,17858.0,15761911.0,149428089.0,20136.0,5559432.0,11297554.0,60927081.0,54493332.0,165190000.0
08/05/2021,India,133366482.0,8362691.0,58214.0,133366482.0,34127375.0,69899266.0,63449164.0,18052.0,16195122.0,151298735.0,20212.0,5731743.0,11523548.0,61372739.0,54720932.0,167493857.0
09/05/2021,India,133854676.0,5437733.0,39614.0,133854676.0,34450192.0,70186220.0,63650307.0,18149.0,16321015.0,151983853.0,20234.0,5873636.0,11665804.0,61510977.0,54786708.0,168304868.0
10/05/2021,India,,,,,,,,,,,,,,,,0.0
16/01/2021,Andaman and Nicobar Islands,23.0,2.0,2.0,23.0,0.0,12.0,11.0,0.0,0.0,23.0,,,,,,23.0
17/01/2021,Andaman and Nicobar Islands,23.0,2.0,2.0,23.0,0.0,12.0,11.0,0.0,0.0,23.0,,,,,,23.0
18/01/2021,Andaman and Nicobar Islands,42.0,9.0,2.0,42.0,0.0,29.0,13.0,0.0,0.0,42.0,,,,,,42.0
19/01/2021,Andaman and Nicobar Islands,89.0,12.0,2.0,89.0,0.0,53.0,36.0,0.0,0.0,89.0,,,,,,89.0
20/01/2021,Andaman and Nicobar Islands,124.0,16.0,3.0,124.0,0.0,67.0,57.0,0.0,0.0,124.0,,,,,,124.0
21/01/2021,Andaman and Nicobar Islands,239.0,22.0,6.0,239.0,0.0,110.0,129.0,0.0,0.0,239.0,,,,,,239.0
22/01/2021,Andaman and Nicobar Islands,552.0,29.0,6.0,552.0,0.0,231.0,321.0,0.0,0.0,552.0,,,,,,552.0
23/01/2021,Andaman and Nicobar Islands,920.0,32.0,9.0,920.0,0.0,342.0,578.0,0.0,0.0,920.0,,,,,,920.0
24/01/2021,Andaman and Nicobar Islands,966.0,38.0,9.0,966.0,0.0,357.0,609.0,0.0,0.0,966.0,,,,,,966.0
25/01/2021,Andaman and Nicobar Islands,1519.0,43.0,10.0,1519.0,0.0,447.0,1072.0,0.0,0.0,1519.0,,,,,,1519.0
26/01/2021,Andaman and Nicobar Islands,1519.0,43.0,10.0,1519.0,0.0,447.0,1072.0,0.0,0.0,1519.0,,,,,,1519.0
27/01/2021,Andaman and Nicobar Islands,1519.0,43.0,10.0,1519.0,0.0,447.0,1072.0,0.0,0.0,1519.0,,,,,,1519.0
28/01/2021,Andaman and Nicobar Islands,1956.0,48.0,10.0,1956.0,0.0,563.0,1393.0,0.0,0.0,1956.0,,,,,,1956.0
29/01/2021,Andaman and Nicobar Islands,2024.0,50.0,10.0,2024.0,0.0,588.0,1436.0,0.0,0.0,2024.0,,,,,,2024.0
30/01/2021,Andaman and Nicobar Islands,2060.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,,,,,,2060.0
31/01/2021,Andaman and Nicobar Islands,2060.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,,,,,,2060.0
01/02/2021,Andaman and Nicobar Islands,2060.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,,,,,,2060.0
02/02/2021,Andaman and Nicobar Islands,2060.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,,,,,,2060.0
03/02/2021,Andaman and Nicobar Islands,2107.0,56.0,12.0,2107.0,0.0,601.0,1506.0,0.0,0.0,2107.0,,,,,,2107.0
04/02/2021,Andaman and Nicobar Islands,2290.0,57.0,13.0,2290.0,0.0,659.0,1631.0,0.0,0.0,2290.0,,,,,,2290.0
05/02/2021,Andaman and Nicobar Islands,2514.0,63.0,13.0,2514.0,0.0,705.0,1809.0,0.0,0.0,2514.0,,,,,,2514.0
06/02/2021,Andaman and Nicobar Islands,2780.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,,,,,,2780.0
07/02/2021,Andaman and Nicobar Islands,2780.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,,,,,,2780.0
08/02/2021,Andaman and Nicobar Islands,2780.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,,,,,,2780.0
09/02/2021,Andaman and Nicobar Islands,2780.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,,,,,,2780.0
10/02/2021,Andaman and Nicobar Islands,2780.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,,,,,,2780.0
11/02/2021,Andaman and Nicobar Islands,2780.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,,,,,,2780.0
12/02/2021,Andaman and Nicobar Islands,2852.0,74.0,14.0,2852.0,0.0,773.0,2079.0,0.0,0.0,2852.0,,,,,,2852.0
13/02/2021,Andaman and Nicobar Islands,3040.0,74.0,14.0,3040.0,0.0,938.0,2102.0,0.0,0.0,3040.0,,,,,,3040.0
14/02/2021,Andaman and Nicobar Islands,3040.0,78.0,14.0,3040.0,0.0,938.0,2102.0,0.0,0.0,3040.0,,,,,,3040.0
15/02/2021,Andaman and Nicobar Islands,3363.0,78.0,14.0,3363.0,104.0,1176.0,2187.0,0.0,0.0,3363.0,,,,,,3467.0
16/02/2021,Andaman and Nicobar Islands,3363.0,81.0,14.0,3363.0,104.0,1176.0,2187.0,0.0,0.0,3363.0,,,,,,3467.0
17/02/2021,Andaman and Nicobar Islands,3560.0,86.0,14.0,3560.0,104.0,1343.0,2217.0,0.0,0.0,3560.0,,,,,,3664.0
18/02/2021,Andaman and Nicobar Islands,3505.0,95.0,14.0,3505.0,341.0,1455.0,2050.0,0.0,0.0,3505.0,,,,,,3846.0
19/02/2021,Andaman and Nicobar Islands,4246.0,101.0,14.0,4246.0,652.0,1805.0,2441.0,0.0,0.0,4246.0,,,,,,4898.0
20/02/2021,Andaman and Nicobar Islands,4707.0,102.0,14.0,4707.0,946.0,2221.0,2486.0,0.0,0.0,4707.0,,,,,,5653.0
21/02/2021,Andaman and Nicobar Islands,4707.0,102.0,14.0,4707.0,946.0,2221.0,2486.0,0.0,0.0,4707.0,,,,,,5653.0
22/02/2021,Andaman and Nicobar Islands,5358.0,118.0,14.0,5358.0,1498.0,2773.0,2585.0,0.0,0.0,5358.0,,,,,,6856.0
23/02/2021,Andaman and Nicobar Islands,5436.0,122.0,14.0,5436.0,1622.0,2831.0,2605.0,0.0,0.0,5436.0,,,,,,7058.0
24/02/2021,Andaman and Nicobar Islands,5518.0,128.0,14.0,5518.0,1722.0,2896.0,2622.0,0.0,0.0,5518.0,,,,,,7240.0
25/02/2021,Andaman and Nicobar Islands,5867.0,134.0,15.0,5867.0,1896.0,3103.0,2764.0,0.0,0.0,5867.0,,,,,,7763.0
26/02/2021,Andaman and Nicobar Islands,6029.0,135.0,15.0,6029.0,1960.0,3205.0,2824.0,0.0,0.0,6029.0,,,,,,7989.0
27/02/2021,Andaman and Nicobar Islands,6029.0,135.0,15.0,6029.0,1960.0,3205.0,2824.0,0.0,0.0,6029.0,,,,,,7989.0
28/02/2021,Andaman and Nicobar Islands,6029.0,135.0,15.0,6029.0,1960.0,3205.0,2824.0,0.0,0.0,6029.0,,,,,,7989.0
01/03/2021,Andaman and Nicobar Islands,6029.0,149.0,15.0,6029.0,1960.0,3205.0,2824.0,0.0,0.0,6029.0,,,,,,7989.0
02/03/2021,Andaman and Nicobar Islands,6638.0,161.0,15.0,6638.0,2086.0,3630.0,3008.0,0.0,0.0,6638.0,,,,,,8724.0
03/03/2021,Andaman and Nicobar Islands,6749.0,172.0,16.0,6749.0,2088.0,3721.0,3028.0,0.0,0.0,6749.0,,,,,,8837.0
04/03/2021,Andaman and Nicobar Islands,7266.0,182.0,16.0,7266.0,2095.0,4133.0,3133.0,0.0,0.0,7266.0,,,,,,9361.0
05/03/2021,Andaman and Nicobar Islands,7799.0,198.0,16.0,7799.0,2098.0,4559.0,3240.0,0.0,0.0,7799.0,,,,,,9897.0
